source_facility_id,hospital_name,district,pincode,classification,matched_existing_name,notes
"IN-TN-CHN-0015","MGM Healthcare (Aminjikarai)","Chennai","600029","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-CHN-0016","Dr. Mehta’s Hospitals (Chetpet)","Chennai","600031","POSSIBLE_DUPLICATE","dr","Sub-string keyword overlap"
"IN-TN-CHN-0017","Vijaya Hospital (Vadapalani)","Chennai","600026","POSSIBLE_DUPLICATE","vijaya hospital","Sub-string keyword overlap"
"IN-TN-CHN-0018","Sundaram Medical Foundation (Anna Nagar)","Chennai","600040","POSSIBLE_DUPLICATE","sundaram medical foundation","Sub-string keyword overlap"
"IN-TN-CHN-0019","Gleneagles Health City (Perumbakkam)","Chennai","600100","POSSIBLE_DUPLICATE","health city","Sub-string keyword overlap"
"IN-TN-CHN-0020","Sri Ramachandra Hospital & Research Institute (Porur)","Chennai","600116","POSSIBLE_DUPLICATE","dr","Sub-string keyword overlap"
"IN-TN-CHN-0021","Dr. Rela Institute & Medical Centre (Chromepet)","Chengalpattu","600044","POSSIBLE_DUPLICATE","dr","Sub-string keyword overlap"
"IN-TN-CHN-0022","Chettinad Hospital & Research Institute (Kelambakkam)","Chengalpattu","603103","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-COI-0023","Coimbatore Medical College Hospital","Coimbatore","641018","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-COI-0024","PSG Hospitals & GKNM Hospital","Coimbatore","641018","POSSIBLE_DUPLICATE","sg hospital","Sub-string keyword overlap"
"IN-TN-COI-0025","Government Taluk Hospital, Coimbatore","Coimbatore","641018","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-MAD-0026","Government Rajaji Hospital (GRH Madurai)","Madurai","625020","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-MAD-0027","Meenakshi Mission Hospital & Research Centre","Madurai","625020","POSSIBLE_DUPLICATE","mission hospital","Sub-string keyword overlap"
"IN-TN-MAD-0028","Government Taluk Hospital, Madurai","Madurai","625020","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0029","Mahatma Gandhi Memorial Government Hospital (KAPV)","Tiruchirappalli","620001","POSSIBLE_DUPLICATE","government hospital","Sub-string keyword overlap"
"IN-TN-TIR-0030","Kauvery Hospital Cantonment Trichy","Tiruchirappalli","620001","POSSIBLE_DUPLICATE","kauvery hospital","Sub-string keyword overlap"
"IN-TN-TIR-0031","Government Taluk Hospital, Tiruchirappalli","Tiruchirappalli","620001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-SAL-0032","Government Mohan Kumaramangalam Medical College Hospital","Salem","636001","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-SAL-0033","Manipal Hospital Salem","Salem","636001","POSSIBLE_DUPLICATE","manipal hospital","Sub-string keyword overlap"
"IN-TN-SAL-0034","Government Taluk Hospital, Salem","Salem","636001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0035","Tirunelveli Medical College Hospital (TVMCH)","Tirunelveli","627011","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-TIR-0036","Galaxy Hospital Tirunelveli","Tirunelveli","627011","POSSIBLE_DUPLICATE","galaxy hospital","Sub-string keyword overlap"
"IN-TN-TIR-0037","Government Taluk Hospital, Tirunelveli","Tirunelveli","627011","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-VEL-0038","Government Vellore Medical College Hospital (Adukkamparai)","Vellore","632004","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-VEL-0039","Christian Medical College (CMC) Hospital","Vellore","632004","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-VEL-0040","Government Taluk Hospital, Vellore","Vellore","632004","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-THA-0041","Thanjavur Medical College Hospital (TMCH)","Thanjavur","613004","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-THA-0042","Meenakshi Hospital Thanjavur","Thanjavur","613004","POSSIBLE_DUPLICATE","meenakshi hospital","Sub-string keyword overlap"
"IN-TN-THA-0043","Government Taluk Hospital, Thanjavur","Thanjavur","613004","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-CHE-0044","Chengalpattu Government Medical College Hospital","Chengalpattu","603001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-CHE-0045","Gleneagles Global Hospital","Chengalpattu","603001","POSSIBLE_DUPLICATE","global hospital","Sub-string keyword overlap"
"IN-TN-CHE-0046","Government Taluk Hospital, Chengalpattu","Chengalpattu","603001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0047","Government Tiruvallur Medical College Hospital","Tiruvallur","602001","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-TIR-0048","Apollo Speciality Hospital Vanagaram","Tiruvallur","602001","POSSIBLE_DUPLICATE","apollo speciality hospital","Sub-string keyword overlap"
"IN-TN-TIR-0049","Government Taluk Hospital, Tiruvallur","Tiruvallur","602001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-KAN-0050","District Headquarters Hospital Kanchipuram","Kanchipuram","631502","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-KAN-0051","Meenakshi Medical College Hospital","Kanchipuram","631502","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-KAN-0052","Government Taluk Hospital, Kanchipuram","Kanchipuram","631502","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-ERO-0053","Government Medical College Hospital Erode (Perundurai)","Erode","638009","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-ERO-0054","Lotus Hospital Erode","Erode","638009","POSSIBLE_DUPLICATE","lotus hospital","Sub-string keyword overlap"
"IN-TN-ERO-0055","Government Taluk Hospital, Erode","Erode","638009","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0056","Government Medical College Hospital Tiruppur","Tiruppur","641604","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-TIR-0057","Revathi Medical Centre","Tiruppur","641604","EXACT_MATCH","revathi medical centre","Exists in legacy database"
"IN-TN-TIR-0058","Government Taluk Hospital, Tiruppur","Tiruppur","641604","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-DIN-0059","Government Medical College Hospital Dindigul","Dindigul","624001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-DIN-0060","St. Joseph Hospital Dindigul","Dindigul","624001","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-DIN-0061","Government Taluk Hospital, Dindigul","Dindigul","624001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-CUD-0062","Government Medical College Hospital Cuddalore (Chidambaram)","Cuddalore","607001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-CUD-0063","Krishna Hospital Cuddalore","Cuddalore","607001","POSSIBLE_DUPLICATE","krishna hospital","Sub-string keyword overlap"
"IN-TN-CUD-0064","Government Taluk Hospital, Cuddalore","Cuddalore","607001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-VIL-0065","Government Villupuram Medical College Hospital (Mundiyampakkam)","Viluppuram","605602","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-VIL-0066","ES Hospital Villupuram","Viluppuram","605602","POSSIBLE_DUPLICATE","es hospital","Sub-string keyword overlap"
"IN-TN-VIL-0067","Government Taluk Hospital, Viluppuram","Viluppuram","605602","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-KAN-0068","Kanyakumari Government Medical College Hospital (Asaripallam)","Kanyakumari","629201","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-KAN-0069","Sree Mookambika Institute","Kanyakumari","629201","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-KAN-0070","Government Taluk Hospital, Kanyakumari","Kanyakumari","629201","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-NAG-0071","Government Medical College Hospital Nagapattinam","Nagapattinam","611001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-NAG-0072","Padmini Nursing Home","Nagapattinam","611001","EXACT_MATCH","padmini nursing home","Exists in legacy database"
"IN-TN-NAG-0073","Government Taluk Hospital, Nagapattinam","Nagapattinam","611001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0074","Government Tiruvarur Medical College Hospital","Tiruvarur","610004","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-TIR-0075","Pankajam Hospital","Tiruvarur","610004","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0076","Government Taluk Hospital, Tiruvarur","Tiruvarur","610004","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-PUD-0077","Government Medical College Hospital Pudukkottai","Pudukkottai","622001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-PUD-0078","Muthu Hospital","Pudukkottai","622001","EXACT_MATCH","muthu hospital","Exists in legacy database"
"IN-TN-PUD-0079","Government Taluk Hospital, Pudukkottai","Pudukkottai","622001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-SIV-0080","Government Sivagangai Medical College Hospital","Sivaganga","630561","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-SIV-0081","St. Michael Hospital","Sivaganga","630561","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-SIV-0082","Government Taluk Hospital, Sivaganga","Sivaganga","630561","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-RAM-0083","Government Medical College Hospital Ramanathapuram","Ramanathapuram","623501","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-RAM-0084","Syed Ammal Hospital","Ramanathapuram","623501","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-RAM-0085","Government Taluk Hospital, Ramanathapuram","Ramanathapuram","623501","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-VIR-0086","Government Medical College Hospital Virudhunagar","Virudhunagar","626001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-VIR-0087","Kamaraj Hospital","Virudhunagar","626001","POSSIBLE_DUPLICATE","raj hospital","Sub-string keyword overlap"
"IN-TN-VIR-0088","Government Taluk Hospital, Virudhunagar","Virudhunagar","626001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-THE-0089","Government Theni Medical College Hospital (Kalanivasal)","Theni","625512","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-THE-0090","KRS Hospital Theni","Theni","625512","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-THE-0091","Government Taluk Hospital, Theni","Theni","625512","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-THO-0092","Government Thoothukudi Medical College Hospital","Thoothukudi","628001","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-THO-0093","Sundaram Arulraj Hospital","Thoothukudi","628001","POSSIBLE_DUPLICATE","raj hospital","Sub-string keyword overlap"
"IN-TN-THO-0094","Government Taluk Hospital, Thoothukudi","Thoothukudi","628001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TEN-0095","District Headquarters Hospital Tenkasi","Tenkasi","627811","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-TEN-0096","Sankar Hospital Tenkasi","Tenkasi","627811","POSSIBLE_DUPLICATE","sankar hospital","Sub-string keyword overlap"
"IN-TN-TEN-0097","Government Taluk Hospital, Tenkasi","Tenkasi","627811","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-KAR-0098","Government Medical College Hospital Karur","Karur","639004","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-KAR-0099","Amaravathi Hospital","Karur","639004","EXACT_MATCH","amaravathi hospital","Exists in legacy database"
"IN-TN-KAR-0100","Government Taluk Hospital, Karur","Karur","639004","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-NAM-0101","Government Medical College Hospital Namakkal","Namakkal","637001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-NAM-0102","Thangam Hospital","Namakkal","637001","EXACT_MATCH","thangam hospital","Exists in legacy database"
"IN-TN-NAM-0103","Government Taluk Hospital, Namakkal","Namakkal","637001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-DHA-0104","Government Dharmapuri Medical College Hospital","Dharmapuri","636701","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-DHA-0105","Senthil Hospital","Dharmapuri","636701","EXACT_MATCH","senthil hospital","Exists in legacy database"
"IN-TN-DHA-0106","Government Taluk Hospital, Dharmapuri","Dharmapuri","636701","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-KRI-0107","Government Medical College Hospital Krishnagiri","Krishnagiri","635001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-KRI-0108","St. Louis Hospital","Krishnagiri","635001","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-KRI-0109","Government Taluk Hospital, Krishnagiri","Krishnagiri","635001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0110","District Headquarters Hospital Tirupathur","Tirupathur","635601","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-TIR-0111","Surya Hospital","Tirupathur","635601","EXACT_MATCH","surya hospital","Exists in legacy database"
"IN-TN-TIR-0112","Government Taluk Hospital, Tirupathur","Tirupathur","635601","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-RAN-0113","District Headquarters Hospital Walajapet (Ranipet)","Ranipet","632401","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-RAN-0114","Scudder Memorial Hospital","Ranipet","632401","POSSIBLE_DUPLICATE","memorial hospital","Sub-string keyword overlap"
"IN-TN-RAN-0115","Government Taluk Hospital, Ranipet","Ranipet","632401","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0116","Government Tiruvannamalai Medical College Hospital","Tiruvannamalai","606604","POSSIBLE_DUPLICATE","medical college","Sub-string keyword overlap"
"IN-TN-TIR-0117","Ramana Maharshi Health Centre","Tiruvannamalai","606604","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-TIR-0118","Government Taluk Hospital, Tiruvannamalai","Tiruvannamalai","606604","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-KAL-0119","Government Medical College Hospital Kallakurichi","Kallakurichi","606202","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-KAL-0120","Siva Hospital","Kallakurichi","606202","EXACT_MATCH","siva hospital","Exists in legacy database"
"IN-TN-KAL-0121","Government Taluk Hospital, Kallakurichi","Kallakurichi","606202","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-ARI-0122","Government Medical College Hospital Ariyalur","Ariyalur","621704","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-ARI-0123","Meenakshi Hospital","Ariyalur","621704","EXACT_MATCH","meenakshi hospital","Exists in legacy database"
"IN-TN-ARI-0124","Government Taluk Hospital, Ariyalur","Ariyalur","621704","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-PER-0125","District Headquarters Hospital Perambalur","Perambalur","621212","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-PER-0126","Dhanalakshmi Srinivasan Hospital","Perambalur","621212","POSSIBLE_DUPLICATE","srinivasan hospital","Sub-string keyword overlap"
"IN-TN-PER-0127","Government Taluk Hospital, Perambalur","Perambalur","621212","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-MAY-0128","District Headquarters Hospital Mayiladuthurai","Mayiladuthurai","609001","POSSIBLE_DUPLICATE","st","Sub-string keyword overlap"
"IN-TN-MAY-0129","Aravind Eye Hospital","Mayiladuthurai","609001","EXACT_MATCH","aravind eye hospital","Exists in legacy database"
"IN-TN-MAY-0130","Government Taluk Hospital, Mayiladuthurai","Mayiladuthurai","609001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-NIL-0131","Government Medical College Hospital Ooty (Nilgiris)","Nilgiris","643001","POSSIBLE_DUPLICATE","government medical college","Sub-string keyword overlap"
"IN-TN-NIL-0132","Cantonment Hospital Wellington","Nilgiris","643001","NEW","","Brand new Tamil Nadu facility record"
"IN-TN-NIL-0133","Government Taluk Hospital, Nilgiris","Nilgiris","643001","NEW","","Brand new Tamil Nadu facility record"
"TNHMIS-CHN-1001","GCC Urban Community Health Centre, Pulianthope","Chennai","600012","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1002","GCC Urban Community Health Centre, Saidapet","Chennai","600015","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1003","GCC Urban Community Health Centre, Shenoy Nagar","Chennai","600030","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1004","GCC Urban Community Health Centre, Ayanavaram","Chennai","600023","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1005","GCC Urban Community Health Centre, Thiruvottiyur","Chennai","600019","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1006","GCC Urban Community Health Centre, Madhavaram","Chennai","600060","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1007","GCC Urban Community Health Centre, Ambattur","Chennai","600053","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1008","GCC Urban Community Health Centre, Valasaravakkam","Chennai","600087","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1009","GCC Urban Community Health Centre, Alandur","Chennai","600016","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1010","GCC Urban Community Health Centre, Adyar","Chennai","600020","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1011","GCC Urban Community Health Centre, Perungudi","Chennai","600096","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1012","GCC Urban Community Health Centre, Sholinganallur","Chennai","600119","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1013","GCC Urban Primary Health Centre, Royapuram","Chennai","600013","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1014","GCC Urban Primary Health Centre, T. Nagar","Chennai","600017","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1015","GCC Urban Primary Health Centre, Mylapore","Chennai","600004","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1016","GCC Urban Primary Health Centre, Kodambakkam","Chennai","600024","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1017","GCC Urban Primary Health Centre, Anna Nagar West","Chennai","600040","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1018","GCC Urban Primary Health Centre, Triplicane","Chennai","600005","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1019","GCC Urban Primary Health Centre, Villivakkam","Chennai","600049","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHN-1020","GCC Urban Primary Health Centre, Kolathur","Chennai","600099","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-ARI-1021","Government Primary Health Centre, Central Ariyalur","Ariyalur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-ARI-1022","Government Community Health Centre, North Ariyalur","Ariyalur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CHE-1023","Government Primary Health Centre, Central Chengalpattu","Chengalpattu","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CHE-1024","Government Community Health Centre, North Chengalpattu","Chengalpattu","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-COI-1025","Government Primary Health Centre, Central Coimbatore","Coimbatore","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-COI-1026","Government Community Health Centre, North Coimbatore","Coimbatore","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-CUD-1027","Government Primary Health Centre, Central Cuddalore","Cuddalore","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-CUD-1028","Government Community Health Centre, North Cuddalore","Cuddalore","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-DHA-1029","Government Primary Health Centre, Central Dharmapuri","Dharmapuri","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-DHA-1030","Government Community Health Centre, North Dharmapuri","Dharmapuri","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-DIN-1031","Government Primary Health Centre, Central Dindigul","Dindigul","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-DIN-1032","Government Community Health Centre, North Dindigul","Dindigul","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-ERO-1033","Government Primary Health Centre, Central Erode","Erode","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-ERO-1034","Government Community Health Centre, North Erode","Erode","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-KAL-1035","Government Primary Health Centre, Central Kallakurichi","Kallakurichi","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-KAL-1036","Government Community Health Centre, North Kallakurichi","Kallakurichi","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-KAN-1037","Government Primary Health Centre, Central Kanchipuram","Kanchipuram","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-KAN-1038","Government Community Health Centre, North Kanchipuram","Kanchipuram","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-KAN-1039","Government Primary Health Centre, Central Kanyakumari","Kanyakumari","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-KAN-1040","Government Community Health Centre, North Kanyakumari","Kanyakumari","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-KAR-1041","Government Primary Health Centre, Central Karur","Karur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-KAR-1042","Government Community Health Centre, North Karur","Karur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-KRI-1043","Government Primary Health Centre, Central Krishnagiri","Krishnagiri","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-KRI-1044","Government Community Health Centre, North Krishnagiri","Krishnagiri","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-MAD-1045","Government Primary Health Centre, Central Madurai","Madurai","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-MAD-1046","Government Community Health Centre, North Madurai","Madurai","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-MAY-1047","Government Primary Health Centre, Central Mayiladuthurai","Mayiladuthurai","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-MAY-1048","Government Community Health Centre, North Mayiladuthurai","Mayiladuthurai","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-NAG-1049","Government Primary Health Centre, Central Nagapattinam","Nagapattinam","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-NAG-1050","Government Community Health Centre, North Nagapattinam","Nagapattinam","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-NAM-1051","Government Primary Health Centre, Central Namakkal","Namakkal","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-NAM-1052","Government Community Health Centre, North Namakkal","Namakkal","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-NIL-1053","Government Primary Health Centre, Central Nilgiris","Nilgiris","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-NIL-1054","Government Community Health Centre, North Nilgiris","Nilgiris","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-PER-1055","Government Primary Health Centre, Central Perambalur","Perambalur","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
"TNHMIS-PER-1056","Government Community Health Centre, North Perambalur","Perambalur","600001","POSSIBLE_DUPLICATE","community health centre","Sub-string keyword overlap"
"TNHMIS-PUD-1057","Government Primary Health Centre, Central Pudukkottai","Pudukkottai","600001","POSSIBLE_DUPLICATE","primary health centre","Sub-string keyword overlap"
